### Hydrolysis of R-TRANS Permethrin by human carboxyesterase 1 and 2
### Integration from16.2 to 17.5 minutes reported at A(225nm)
### See page 2024-1-23 of lab book for details.
"Vol (/uL)","C1",   "C2",  "hCE1-1",  "hCE1-2",  "hCE1-3",  "hCE1-4",  "hCE1-5", "hCE2-1",  "hCE2-2",  "hCE2-3",  "hCE2-4",  "hCE2-5"
2,     209163,    209272,    204283,    206976,    204017,    202409,    206979,   188950,    195698,    192537,    188414,   193792
5,     525955,    525072,    511220,    517181,    517917,    511409,    514934,   499046,    497593,    492711,    495875,   494864
7,     732049,    735909,    724446,    723114,    719508,    722241,    726637,   695188,    701650,    700494,    699645,   698685
10,   1050651,   1052625,   1040383,   1033674,   1039781,   1033557,   1040939,  1010645,   1014791,   1011470,   1014264,  1006364
30,   3142211,   3147060,   3135392,   3129720,   3133503,   3134722,   3132837,  3092963,   3092289,   3097877,   3099304,  3096899
50,   5241318,   5240024,   5232474,   5224212,   5226873,   5231086,   5225797,  5191305,   5189387,   5188683,   5187915,  5193105
100, 10486168,  10483437,  10474387,  10466591,  10471480,  10466355,  10471645, 10438593,  10437761,  10437466,  10430894, 10436331













