### Hydrolysis of S-CIS Permethrin by human carboxyesterase 1 and 2
### Integration from 9.8 to 12.2 minutes reported at A(225nm)
### See page 2024-1-23 of lab book for details.
"Vol PM µL","C1","C2",  "hCE1-1", "hCE1-2", "hCE1-3", "hCE1-4", "hCE1-5", "hCE2-1", "hCE2-2", "hCE2-3", "hCE2-4", "hCE2-5"
2,    111977,   108994,   104079,   103897,   107203,   107625,   105757,   105611,   104484,   104599,   102877,   102259
5,    277785,   281063,   262401,   263053,   266434,   262604,   265124,   264293,   261267,   261035,   261614,   261516
7,    390377,   387970,   369001,   370362,   372532,   368867,   372287,   371541,   369266,   372355,   370024,   368156
10,   557272,   558531,   530512,   533991,   533386,   529888,   531014,   534361,   531448,   531491,   535866,   532352
30,  1672202,  1671218,  1623730,  1621399,  1623681,  1622875,  1621065,  1636445,  1636464,  1633738,  1638858,  1635164
50,  2784245,  2787453,  2726625,  2724999,  2727832,  2722879,  2726229,  2744340,  2745959,  2745358,  2746406,  2747136
100, 5572945,  5570797,  5497669,  5496082,  5500820,  5498028,  5497174,  5529947,  5529167,  5529675,  5530672,  5529079








