### Hydrolysis of S-TRANS Permethrin by human carboxyesterase 1 and 2
### Integration from14.5 to 16.2 minutes reported at A(225nm)
### See page 2024-1-23 of lab book for details.
"Vol (/uL)","C1",  "C2", "hCE1-1", "hCE1-2", "hCE1-3", "hCE1-4", "hCE1-5", "hCE2-1", "hCE2-2", "hCE2-3", "hCE2-4", "hCE2-5"
2,    183779,    187923,   179466,   177581,   176935,   177650,   182826,   166382,   168408,   172566,   172894,   166747
5,    458325,    458024,   448462,   455642,   448539,   451940,   452148,   438475,   435935,   435518,   436850,   433768
7,    640418,    645080,   637545,   634592,   634248,   630581,   631403,   613473,   614632,   617191,   609851,   617449
10,   918368,    920601,   909230,   911551,   907092,   908335,   909141,   886188,   882401,   883603,   887419,   883301
30,   2753053,  2749057,  2744419,  2741489,  2743643,  2744301,  2741862,  2713910,  2711800,  2710230,  2708407,  2710959
50,   4588666,  4590448,  4576861,  4577136,  4575032,  4577168,  4571765,  4546442,  4541267,  4548010,  4543201,  4542843
100,  9178512,  9178814,  9166250,  9162674,  9164556,  9157941,  9158464,  9126783,  9128949,  9127904,  9132969,  9134415














