### Enzyme kinetic data for β-galatosidase (EC. 3.2.1.23) 
### in the hydrolysis of o-nitrophenyl-β-D-galactopyranoside (ONPG) to galactose and o-nitrophenol
###
### ONPG conc in mM
### rates in AU/min
###
ONPG,  v1,     v2,     v3,     v4,     v5,     v6,     v7,     v8
 0.05, 0.004,  0.002,  0.007,  0.007,  0.007,  0.005,  0.003,  0.006 
 0.1,  0.009,  0.006,  0.013,  0.012,  0.012,  0.010,  0.009,  0.009 
 0.25, 0.022,  0.020,  0.033,  0.033,  0.027,  0.028,  0.025,  0.024 
 0.5,  0.041,  0.038,  0.058,  0.058,  0.053,  0.052,  0.047,  0.051 
 1.0,  0.068,  0.059,  0.100,  0.093,  0.083,  0.080,  0.085,  0.082 
 2.5,  0.104,  0.067,  0.183,  0.173,  0.150,  0.168,  0.126,  0.144 
 5.0,  0.157,  0.123,  0.230,  0.230,  0.192,  0.202,  0.188,  0.188 
 8.0,  0.175,  0.155,  0.257,  0.250,  0.198,  0.232,  0.210,  0.227 
20.0,  0.222,  0.187,  0.299,  0.299,  0.237,  0.253,  0.258,  0.283 
30.0,  0.240,  0.200,  0.334,  0.334,  0.277,  0.302,  0.281,  0.296 
