# Piroxicam interaction with warfarin metabolism
# [cytP450] = 0.0000000010 moles/L
# Experiment 1 - No inhibitor
"[warfarin] (uM)",        0.6,             1,               1.4,             2,               4,               6
"time (min)",            "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                        5.8,             8.6,            11.0,            12.6,            17.1,            19.4
2.0,                       10.3,            17.2,            20.4,            23.6,            36.0,            34.2
3.0,                       15.6,            24.1,            31.0,            39.7,            45.5,            54.1
4.0,                       23.4,            32.2,            39.8,            48.6,            65.9,            76.3
5.0,                       28.2,            40.4,            48.8,            60.0,            88.1,            92.9
7.0,                       38.1,            62.1,            64.4,            90.8,           107.2,           137.1
8.0,                       48.1,            59.5,            86.2,           106.1,           139.2,           143.1
# Experiment 2 - Inhibitor = Piroxicam
# [Inhibitor] = 1.2 mM
"[warfarin] (uM)",        0.5,             1,               2.5,             3.5,             5.5,             7.5
"time (min)",            "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                        2.2,             4.2,             8.8,             9.5,            13.4,            13.3
2.0,                        4.1,             8.0,            15.5,            18.8,            25.2,            29.4
3.0,                        7.1,            11.1,            22.5,            33.0,            37.9,            44.3
4.0,                        8.7,            16.6,            31.9,            41.8,            52.4,            64.8
5.0,                       11.1,            22.5,            42.1,            52.1,            59.7,            72.4
7.0,                       15.9,            28.5,            62.3,            64.4,            91.6,           111.4
8.0,                       17.9,            33.6,            71.7,            84.0,           108.9,           115.7
