# Triclofenac B interaction with warfarin metabolism
# [cytP450] = 0.0000000010 moles/L
# Experiment 1 - No inhibitor          
"[warfarin] (uM)",        2.8,             4.6,             6.4,             9.1,              17.9,              26.9
"time (min)",            "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                        5.2,             8.9,            11.1,            13.2,            15.9,            20.4
2.0,                       10.8,            17.9,            21.1,            23.9,            32.4,            40.3
3.0,                       16.0,            24.9,            31.7,            38.8,            53.3,            55.4
4.0,                       24.3,            35.5,            39.1,            48.2,            61.1,            70.8
5.0,                       26.2,            40.4,            46.6,            58.1,            76.7,            88.8
7.0,                       41.6,            58.7,            68.0,            86.4,           107.5,           133.3
8.0,                       42.5,            66.6,            78.8,           102.3,           125.8,           149.3
# Experiment 2 - Inhibitor = Triclofenac B
# [Inhibitor] = 2 mM
"[warfarin] (uM)",        1.0,             1.9,             4.6,             6.4,             10.0,            13.6
"time (min)",            "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]", "[product /nM]"
1.0,                        1.1,             2.2,             4.4,             5.1,             6.1,             7.2
2.0,                        2.4,             4.1,             7.7,             9.7,            13.9,            15.6
3.0,                        3.4,             6.2,            11.7,            15.8,            20.8,            22.4
4.0,                        4.3,             8.6,            16.6,            20.7,            23.5,            27.6
5.0,                        5.7,            10.6,            22.6,            26.9,            32.8,            37.4
7.0,                        7.5,            13.7,            26.2,            37.6,            49.6,            47.5
8.0,                        9.6,            16.5,            31.5,            41.9,            55.0,            54.5
