### Enzyme kinetic data for β-galatosidase (EC. 3.2.1.23) 
### in the hydrolysis of o-nitrophenyl-β-D-galactopyranoside (ONPG) to galactose and o-nitrophenol
###
### Data from "renz: An R package for the analysis of enzyme kinetic data." 
### J.C. Aledo, BMC Bioinformatics, 2022, 23, 182. https://doi.org/10.1186/s12859-022-04729-4
###
### ONPG conc in mM
### rates in micromolar/min
###
ONPG,          v1,            v2,              v3,             v4,            v5,             v6,             v7,              v8
0.05,          2.26,          1.29,           4.0,            4.0,           4.0,             3.0,            1.77,            2.98
0.1,           5.48,          3.33,           8.0,            7.0,           7.0,             6.0,            5.2,             5.2
0.25,         13.4,          11.8,           20.0,           20.0,           16.0,           17.0,           15.04,           14.38
0.5,          24.7,          22.8,           35.0,           35.0,           32.0,           31.0,           28.31,           30.3
1.0,          40.9,          35.2,           60.0,           56.0,           50.0,           48.0,           50.98,           48.99
2.5,          62.3,          39.9,          110.0,          104.0,           90.0,          101.0,           75.42,           86.25
5.0,          94.3,          73.5,          138.0,          138.0,          115.0,          121.0,          112.68,          112.57
8.0,         105.0,          92.9,          154.0,          150.0,          119.0,          139.0,          126.06,          136.24
20.0,        133.0,         112.0,          179.0,          179.0,          142.0,          152.0,          154.93,          169.97
30.0,        144.0,         120.0,          200.0,          200.0,          166.0,          181.0,          168.75,          177.71
